"INDICATORS","DECL","PRCCODE","PRCCODE_LABEL","PERIOD","Value","Flag and Footnotes"
"PRODQNT","Iceland","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017",":","(1)"
"PRODQNT","Iceland","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018",":","(1)"
"PRODQNT","Iceland","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Norway","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017",":","(1)"
"PRODQNT","Norway","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018",":","(1)"
"PRODQNT","Norway","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Sweden","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017",":","(2)"
"PRODQNT","Sweden","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","99 141 300",""
"PRODQNT","Sweden","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Finland","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","32 091 166",""
"PRODQNT","Finland","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","39 897 381",""
"PRODQNT","Finland","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Austria","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","2 116 821",""
"PRODQNT","Austria","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","2 757 396",""
"PRODQNT","Austria","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Malta","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","0",""
"PRODQNT","Malta","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","0",""
"PRODQNT","Malta","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Estonia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","18 048 000",""
"PRODQNT","Estonia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","20 349 800",""
"PRODQNT","Estonia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Latvia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","12 326 452",""
"PRODQNT","Latvia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018",":","(1)"
"PRODQNT","Latvia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Lithuania","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","34 775 096",""
"PRODQNT","Lithuania","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","42 112 321",""
"PRODQNT","Lithuania","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Poland","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","201 448 900",""
"PRODQNT","Poland","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","237 755 600",""
"PRODQNT","Poland","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Czechia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","44 157 000",""
"PRODQNT","Czechia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","50 905 000",""
"PRODQNT","Czechia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Slovakia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017",":","(1)"
"PRODQNT","Slovakia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","176 103",""
"PRODQNT","Slovakia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Hungary","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","72 904 000",""
"PRODQNT","Hungary","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","65 009 000","(2)"
"PRODQNT","Hungary","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Romania","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","47 886 104",""
"PRODQNT","Romania","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","49 862 002",""
"PRODQNT","Romania","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Bulgaria","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","25 988 744",""
"PRODQNT","Bulgaria","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","29 673 973",""
"PRODQNT","Bulgaria","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Slovenia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017",":","(1)"
"PRODQNT","Slovenia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018",":","(1)"
"PRODQNT","Slovenia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Croatia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","32 334 500",""
"PRODQNT","Croatia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","34 846 400",""
"PRODQNT","Croatia","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","EUROPEAN UNION (28)","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","3 156 558 370","(3)"
"PRODQNT","EUROPEAN UNION (28)","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","3 184 708 702","(3)"
"PRODQNT","EUROPEAN UNION (28)","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Cyprus","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","0",""
"PRODQNT","Cyprus","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","0",""
"PRODQNT","Cyprus","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
